Organisation Name,Trading Name,Certificate ID,Suburb/City,Country,Status,Current Certification Date,Certification Expiry Date,Phone,Email,Website
100 Health Pharmacy,,7020,ROBINA,Australia,Active,2025-07-14,2027-10-14,07 5651 5777,,
3 Beaches Pharmacy,,990,HALLIDAYS POINT,Australia,Active,2025-08-21,2027-11-21,,,
393 Pharmacy,,3886,MOSMAN,Australia,Active,2025-09-24,2027-12-24,02 9969 1345,rx@393pharmacy.com.au,393pharmacy.com.au
A1 Discount Chemist,,4576,CROYDON PARK,Australia,Active,2026-05-09,2028-08-09,0297987458,,
Abbotsford Family Pharmacy,,3847,ABBOTSFORD,Australia,Active,2025-06-21,2027-09-21,02 9712 8611,info@abbotsfordfamilypharmacy.com.au,http://abbotsfordfamilypharmacy.com.au/
Aberdeen Pharmacy,,5069,ABERDEEN,Australia,Active,2025-05-30,2027-08-30,02 6543 8022,,
Abermain Pharmacy,,5926,ABERMAIN,Australia,Active,2025-06-29,2027-09-29,02 4930 4442,,
Above and Beyond Discount Chemist,,256,BEENLEIGH,Australia,Active,2024-12-06,2027-03-06,07 3287 2233,,
Acacia Pharmacy,,1162,ACACIA RIDGE,Australia,Active,2024-06-26,2026-09-26,07 3277 4030,acaciapharmacy@aspecthealth.com.au,https://aspecthealth.com.au/
Ace Pharmacy Kedron,,6597,KEDRON,Australia,Active,2024-11-27,2027-02-27,07 3857 0200,kedronwavell@guardianpharm.net,
Acher Pharmacy,,3085,FLEMINGTON,Australia,Active,2025-02-27,2027-05-27,0393766302,acherpharmacy@outlook.com,https://www.acherpharmacy.com.au
Acton Health Pharmacy,,3067,MILES,Australia,Active,2025-06-03,2027-09-03,07 4627 1552,miles@actonhealth.com.au,http://www.actonhealth.com.au/
Adams Chemist,,5866,TARNEIT,Australia,Active,2025-02-25,2027-05-24,03 8742 7255,adamschemist@hotmail.com,
Adam's Pharmacy,,3148,CHELSEA,Australia,Active,2025-11-30,2028-03-01,0397721126,adamspharmacy@outlook.com.au,
Adelong Pharmacy,,5897,ADELONG,Australia,Active,2025-06-28,2027-09-28,02 6900 3539,,
Advanced Health Pharmacy Bankstown,,4082,BANKSTOWN,Australia,Active,2024-05-31,2026-08-31,02 8123 0194,amcalbankstown@gmail.com,
Advantage Darley Plaza Pharmacy,,3368,DARLEY,Australia,Active,2025-03-22,2027-06-21,03 5367 4700,AdvantagePharmacy.Darley@hotmail.com,
Advantage Pharmacy Bairnsdale,,2614,BAIRNSDALE,Australia,Active,2024-10-22,2027-01-22,,,
